model,benchmark,error_type,count,percentage
Gemma/Gemma3-1B,bigbench_hard,confidently_wrong,0,0.0
Gemma/Gemma3-1B,bigbench_hard,drifting,17,10.8
Gemma/Gemma3-1B,bigbench_hard,distractor,0,0.0
Gemma/Gemma3-1B,bigbench_hard,negation,0,0.0
Gemma/Gemma3-1B,bigbench_hard,multi_hop,0,0.0
Gemma/Gemma3-1B,bigbench_hard,hallucination,0,0.0
Gemma/Gemma3-1B,bigbench_hard,format_correct_wrong_answer,141,89.2
Gemma/Gemma3-1B,bigbench_hard,off_topic,0,0.0
Gemma/Gemma3-1B,bigbench_hard,premise_order_sensitivity,0,0.0
Gemma/Gemma3-1B,bigbench_hard,arithmetic_slip,0,0.0
Gemma/Gemma3-1B,bigbench_hard,unknown,0,0.0
Gemma/Gemma3-4B,bigbench_hard,confidently_wrong,0,0.0
Gemma/Gemma3-4B,bigbench_hard,drifting,12,14.5
Gemma/Gemma3-4B,bigbench_hard,distractor,0,0.0
Gemma/Gemma3-4B,bigbench_hard,negation,0,0.0
Gemma/Gemma3-4B,bigbench_hard,multi_hop,0,0.0
Gemma/Gemma3-4B,bigbench_hard,hallucination,2,2.4
Gemma/Gemma3-4B,bigbench_hard,format_correct_wrong_answer,69,83.1
Gemma/Gemma3-4B,bigbench_hard,off_topic,0,0.0
Gemma/Gemma3-4B,bigbench_hard,premise_order_sensitivity,0,0.0
Gemma/Gemma3-4B,bigbench_hard,arithmetic_slip,0,0.0
Gemma/Gemma3-4B,bigbench_hard,unknown,0,0.0
Llama/Llama3-2-1-5B,bigbench_hard,confidently_wrong,0,0.0
Llama/Llama3-2-1-5B,bigbench_hard,drifting,51,26.3
Llama/Llama3-2-1-5B,bigbench_hard,distractor,0,0.0
Llama/Llama3-2-1-5B,bigbench_hard,negation,0,0.0
Llama/Llama3-2-1-5B,bigbench_hard,multi_hop,0,0.0
Llama/Llama3-2-1-5B,bigbench_hard,hallucination,77,39.7
Llama/Llama3-2-1-5B,bigbench_hard,format_correct_wrong_answer,65,33.5
Llama/Llama3-2-1-5B,bigbench_hard,off_topic,1,0.5
Llama/Llama3-2-1-5B,bigbench_hard,premise_order_sensitivity,0,0.0
Llama/Llama3-2-1-5B,bigbench_hard,arithmetic_slip,0,0.0
Llama/Llama3-2-1-5B,bigbench_hard,unknown,0,0.0
Llama/Llama3-2-3B,bigbench_hard,confidently_wrong,0,0.0
Llama/Llama3-2-3B,bigbench_hard,drifting,40,35.1
Llama/Llama3-2-3B,bigbench_hard,distractor,0,0.0
Llama/Llama3-2-3B,bigbench_hard,negation,0,0.0
Llama/Llama3-2-3B,bigbench_hard,multi_hop,0,0.0
Llama/Llama3-2-3B,bigbench_hard,hallucination,20,17.5
Llama/Llama3-2-3B,bigbench_hard,format_correct_wrong_answer,53,46.5
Llama/Llama3-2-3B,bigbench_hard,off_topic,1,0.9
