family,benchmark,condition,error_type,count,pct
qwen,gsm_symbolic,zero_shot_baseline,correct,166,0.83
qwen,gsm_symbolic,zero_shot_baseline,hallucination,6,0.03
qwen,gsm_symbolic,zero_shot_baseline,drifting,1,0.005
qwen,gsm_symbolic,zero_shot_baseline,format_correct_wrong_answer,16,0.08
qwen,gsm_symbolic,zero_shot_baseline,distractor,6,0.03
qwen,gsm_symbolic,zero_shot_baseline,arithmetic_slip,5,0.025
qwen,gsm_symbolic,zero_shot,correct,107,0.535
qwen,gsm_symbolic,zero_shot,format_correct_wrong_answer,67,0.335
qwen,gsm_symbolic,zero_shot,hallucination,7,0.035
qwen,gsm_symbolic,zero_shot,drifting,6,0.03
qwen,gsm_symbolic,zero_shot,distractor,10,0.05
qwen,gsm_symbolic,zero_shot,arithmetic_slip,3,0.015
qwen,gsm_symbolic,targeted_few_shot_answer_only,correct,125,0.625
qwen,gsm_symbolic,targeted_few_shot_answer_only,format_correct_wrong_answer,46,0.23
qwen,gsm_symbolic,targeted_few_shot_answer_only,drifting,5,0.025
qwen,gsm_symbolic,targeted_few_shot_answer_only,distractor,14,0.07
qwen,gsm_symbolic,targeted_few_shot_answer_only,hallucination,5,0.025
qwen,gsm_symbolic,targeted_few_shot_answer_only,arithmetic_slip,5,0.025
qwen,gsm_symbolic,random_few_shot,correct,143,0.715
qwen,gsm_symbolic,random_few_shot,hallucination,13,0.065
qwen,gsm_symbolic,random_few_shot,drifting,1,0.005
qwen,gsm_symbolic,random_few_shot,format_correct_wrong_answer,39,0.195
qwen,gsm_symbolic,random_few_shot,arithmetic_slip,4,0.02
qwen,gsm_symbolic,targeted_few_shot,format_correct_wrong_answer,31,0.155
qwen,gsm_symbolic,targeted_few_shot,correct,148,0.74
qwen,gsm_symbolic,targeted_few_shot,drifting,4,0.02
qwen,gsm_symbolic,targeted_few_shot,hallucination,8,0.04
qwen,gsm_symbolic,targeted_few_shot,distractor,2,0.01
qwen,gsm_symbolic,targeted_few_shot,arithmetic_slip,7,0.035
qwen,gsm_symbolic,targeted_few_shot_k5,format_correct_wrong_answer,49,0.245
qwen,gsm_symbolic,targeted_few_shot_k5,correct,132,0.66
qwen,gsm_symbolic,targeted_few_shot_k5,hallucination,13,0.065
qwen,gsm_symbolic,targeted_few_shot_k5,arithmetic_slip,6,0.03
qwen,gsm_symbolic,error_targeted_icl,correct,146,0.73
qwen,gsm_symbolic,error_targeted_icl,drifting,7,0.035
qwen,gsm_symbolic,error_targeted_icl,hallucination,4,0.02
qwen,gsm_symbolic,error_targeted_icl,format_correct_wrong_answer,24,0.12
qwen,gsm_symbolic,error_targeted_icl,arithmetic_slip,19,0.095
qwen,gsm_symbolic,error_targeted_icl_random,correct,152,0.76
qwen,gsm_symbolic,error_targeted_icl_random,format_correct_wrong_answer,22,0.11
qwen,gsm_symbolic,error_targeted_icl_random,drifting,12,0.06
qwen,gsm_symbolic,error_targeted_icl_random,hallucination,3,0.015
qwen,gsm_symbolic,error_targeted_icl_random,distractor,5,0.025
qwen,gsm_symbolic,error_targeted_icl_random,arithmetic_slip,6,0.03
qwen,gsm_symbolic,error_targeted_icl_correct_only,correct,187,0.935
qwen,gsm_symbolic,error_targeted_icl_correct_only,drifting,5,0.025
qwen,gsm_symbolic,error_targeted_icl_correct_only,format_correct_wrong_answer,3,0.015
qwen,gsm_symbolic,error_targeted_icl_correct_only,arithmetic_slip,4,0.02
qwen,gsm_symbolic,error_targeted_icl_correct_only,hallucination,1,0.005
qwen,gsm_symbolic,self_consistency,correct,139,0.695
qwen,gsm_symbolic,self_consistency,off_topic,47,0.235
qwen,gsm_symbolic,self_consistency,multi_hop,9,0.045
qwen,gsm_symbolic,self_consistency,confidently_wrong,5,0.025
qwen,gsm_plus,zero_shot_baseline,correct,98,0.49
qwen,gsm_plus,zero_shot_baseline,drifting,22,0.11
qwen,gsm_plus,zero_shot_baseline,format_correct_wrong_answer,46,0.23
qwen,gsm_plus,zero_shot_baseline,hallucination,16,0.08
qwen,gsm_plus,zero_shot_baseline,negation,5,0.025
qwen,gsm_plus,zero_shot_baseline,arithmetic_slip,4,0.02
qwen,gsm_plus,zero_shot_baseline,distractor,9,0.045
qwen,gsm_plus,zero_shot,format_correct_wrong_answer,67,0.335
qwen,gsm_plus,zero_shot,correct,76,0.38
qwen,gsm_plus,zero_shot,hallucination,18,0.09
qwen,gsm_plus,zero_shot,drifting,21,0.105
qwen,gsm_plus,zero_shot,negation,3,0.015
qwen,gsm_plus,zero_shot,arithmetic_slip,5,0.025
qwen,gsm_plus,zero_shot,distractor,10,0.05
qwen,gsm_plus,targeted_few_shot_answer_only,format_correct_wrong_answer,22,0.11
qwen,gsm_plus,targeted_few_shot_answer_only,drifting,23,0.115
qwen,gsm_plus,targeted_few_shot_answer_only,correct,117,0.585
qwen,gsm_plus,targeted_few_shot_answer_only,off_topic,3,0.015
qwen,gsm_plus,targeted_few_shot_answer_only,hallucination,17,0.085
qwen,gsm_plus,targeted_few_shot_answer_only,negation,5,0.025
qwen,gsm_plus,targeted_few_shot_answer_only,arithmetic_slip,4,0.02
qwen,gsm_plus,targeted_few_shot_answer_only,distractor,9,0.045
qwen,gsm_plus,random_few_shot,distractor,10,0.05
qwen,gsm_plus,random_few_shot,drifting,19,0.095
qwen,gsm_plus,random_few_shot,correct,134,0.67
qwen,gsm_plus,random_few_shot,hallucination,16,0.08
qwen,gsm_plus,random_few_shot,negation,7,0.035
qwen,gsm_plus,random_few_shot,format_correct_wrong_answer,9,0.045
