family,benchmark,baseline_condition,condition,js_divergence
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl,0.13370418432776415
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_correct_only,0.020101433158055813
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_random,0.0771291956104877
gemma,bigbench_hard,zero_shot_baseline,random_few_shot,0.0210821291070434
gemma,bigbench_hard,zero_shot_baseline,self_consistency,0.6437416490579365
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot,0.034075587767555746
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_answer_only,0.036295598931035365
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_k5,0.03912475816843543
gemma,bigbench_hard,zero_shot_baseline,zero_shot,0.027377238481636073
gemma,bigbench_hard_tracking,zero_shot_baseline,error_targeted_icl,0.07109876554216682
gemma,bigbench_hard_tracking,zero_shot_baseline,error_targeted_icl_correct_only,0.01272448721250298
gemma,bigbench_hard_tracking,zero_shot_baseline,error_targeted_icl_random,0.1471700976682356
gemma,bigbench_hard_tracking,zero_shot_baseline,random_few_shot,0.060310619782104447
gemma,bigbench_hard_tracking,zero_shot_baseline,self_consistency,0.835109311812134
gemma,bigbench_hard_tracking,zero_shot_baseline,targeted_few_shot,0.1379234476672847
gemma,bigbench_hard_tracking,zero_shot_baseline,targeted_few_shot_answer_only,0.013265056615162507
gemma,bigbench_hard_tracking,zero_shot_baseline,targeted_few_shot_k5,0.2177819936783585
gemma,bigbench_hard_tracking,zero_shot_baseline,zero_shot,0.002549342590167959
gemma,folio,zero_shot_baseline,error_targeted_icl,0.08569068933313684
gemma,folio,zero_shot_baseline,error_targeted_icl_correct_only,0.08179633108002672
gemma,folio,zero_shot_baseline,error_targeted_icl_random,0.052333660919113734
gemma,folio,zero_shot_baseline,random_few_shot,0.1765404241109486
gemma,folio,zero_shot_baseline,self_consistency,0.4296843513481968
gemma,folio,zero_shot_baseline,targeted_few_shot,0.07512787537985886
gemma,folio,zero_shot_baseline,targeted_few_shot_answer_only,0.09846518575379637
gemma,folio,zero_shot_baseline,targeted_few_shot_k5,0.09005183443915914
gemma,folio,zero_shot_baseline,zero_shot,0.02071865683852407
gemma,gsm8k,zero_shot_baseline,error_targeted_icl,0.09466645081190449
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_correct_only,0.10223428874270102
gemma,gsm8k,zero_shot_baseline,error_targeted_icl_random,0.08916166876609088
gemma,gsm8k,zero_shot_baseline,random_few_shot,0.12261137289777405
gemma,gsm8k,zero_shot_baseline,self_consistency,0.6463248566379567
gemma,gsm8k,zero_shot_baseline,targeted_few_shot,0.06286746133310765
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_answer_only,0.11636151685395471
gemma,gsm8k,zero_shot_baseline,targeted_few_shot_k5,0.07435194172787891
gemma,gsm8k,zero_shot_baseline,zero_shot,0.08870888206819844
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl,0.08231001978895243
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_correct_only,0.08751980399505652
gemma,gsm_ic,zero_shot_baseline,error_targeted_icl_random,0.06820821739154423
gemma,gsm_ic,zero_shot_baseline,random_few_shot,0.08876055591176835
gemma,gsm_ic,zero_shot_baseline,self_consistency,0.6481241180865422
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot,0.04530772945531884
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_answer_only,0.09035778429953165
gemma,gsm_ic,zero_shot_baseline,targeted_few_shot_k5,0.04785247298422764
gemma,gsm_ic,zero_shot_baseline,zero_shot,0.05434687281598913
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl,0.04223264262918856
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_correct_only,0.025472028003959684
gemma,gsm_plus,zero_shot_baseline,error_targeted_icl_random,0.07968790114035382
gemma,gsm_plus,zero_shot_baseline,random_few_shot,0.00788716144746739
gemma,gsm_plus,zero_shot_baseline,self_consistency,0.7005677845807081
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot,0.03909400938310294
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_answer_only,0.02598852027306682
gemma,gsm_plus,zero_shot_baseline,targeted_few_shot_k5,0.04371419802857443
gemma,gsm_plus,zero_shot_baseline,zero_shot,0.005809345292854212
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl,0.23284286035630994
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_correct_only,0.06251083100973376
gemma,gsm_symbolic,zero_shot_baseline,error_targeted_icl_random,0.23808312091792688
gemma,gsm_symbolic,zero_shot_baseline,random_few_shot,0.14051494071153522
gemma,gsm_symbolic,zero_shot_baseline,self_consistency,0.6885911600831381
gemma,gsm_symbolic,zero_shot_baseline,targeted_few_shot,0.08933637353038223
gemma,gsm_symbolic,zero_shot_baseline,targeted_few_shot_answer_only,0.13503168736000912
gemma,gsm_symbolic,zero_shot_baseline,targeted_few_shot_k5,0.09237032004531726
gemma,gsm_symbolic,zero_shot_baseline,zero_shot,0.08394273808895805
qwen,bigbench_hard,zero_shot_baseline,error_targeted_icl,0.05473931596528156
qwen,bigbench_hard,zero_shot_baseline,error_targeted_icl_correct_only,0.05860953367385777
qwen,bigbench_hard,zero_shot_baseline,error_targeted_icl_random,0.031388488510425
qwen,bigbench_hard,zero_shot_baseline,random_few_shot,0.015723065399075423
qwen,bigbench_hard,zero_shot_baseline,self_consistency,0.3118278210532145
