family,model,hf_model_id,benchmark,condition,n,correct,accuracy,result_file
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,zero_shot_baseline,200,166,0.83,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__zero_shot_baseline__20260519_085203__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_0853.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,zero_shot,200,107,0.535,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__zero_shot__20260519_095905__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1000.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,targeted_few_shot_answer_only,200,125,0.625,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__targeted_few_shot_answer_only__20260519_111307__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1115.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,random_few_shot,200,143,0.715,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__random_few_shot__20260519_121449__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1216.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,targeted_few_shot,200,148,0.74,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__targeted_few_shot__20260519_131022__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1312.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,targeted_few_shot_k5,200,132,0.66,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__targeted_few_shot_k5__20260519_141850__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1420.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,error_targeted_icl,200,146,0.73,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__error_targeted_icl__20260519_205650__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_2058.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,error_targeted_icl_random,200,152,0.76,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__error_targeted_icl_random__20260519_215456__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_2156.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,error_targeted_icl_correct_only,200,187,0.935,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__error_targeted_icl_correct_only__20260519_225301__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_2254.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,self_consistency,200,139,0.695,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__self_consistency__20260519_234345__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_2345.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,zero_shot_baseline,200,98,0.49,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__zero_shot_baseline__20260520_091336__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_0914.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,zero_shot,200,76,0.38,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__zero_shot__20260520_101912__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1020.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,targeted_few_shot_answer_only,200,117,0.585,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__targeted_few_shot_answer_only__20260520_113236__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1133.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,random_few_shot,200,134,0.67,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__random_few_shot__20260520_123031__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1231.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,targeted_few_shot,200,106,0.53,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__targeted_few_shot__20260520_132655__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1328.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,targeted_few_shot_k5,200,102,0.51,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__targeted_few_shot_k5__20260520_143358__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1435.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,error_targeted_icl,200,126,0.63,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__error_targeted_icl__20260520_153931__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1540.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,error_targeted_icl_random,200,123,0.615,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__error_targeted_icl_random__20260521_025614__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260521_0258.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,error_targeted_icl_correct_only,200,128,0.64,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__error_targeted_icl_correct_only__20260521_035316__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260521_0355.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,self_consistency,200,75,0.375,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__self_consistency__20260521_044754__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260521_0449.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,zero_shot_baseline,200,68,0.34,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__zero_shot_baseline__20260521_104917__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1050.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,zero_shot,200,109,0.545,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__zero_shot__20260521_110924__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1110.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,targeted_few_shot_answer_only,200,160,0.8,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__targeted_few_shot_answer_only__20260521_120234__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1203.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,random_few_shot,200,186,0.93,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__random_few_shot__20260521_124850__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1250.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,targeted_few_shot,200,134,0.67,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__targeted_few_shot__20260521_133449__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1336.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,targeted_few_shot_k5,200,144,0.72,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__targeted_few_shot_k5__20260521_142640__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1427.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,error_targeted_icl,200,174,0.87,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__error_targeted_icl__20260521_151725__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1518.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,error_targeted_icl_random,200,174,0.87,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__error_targeted_icl_random__20260521_160422__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1605.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,error_targeted_icl_correct_only,200,177,0.885,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__error_targeted_icl_correct_only__20260521_165041__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1651.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_ic,self_consistency,200,130,0.65,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_ic__self_consistency__20260521_181907__gsm_ic__Qwen_Qwen2-5-7B-Instruct__gsm_ic__20260521_1819.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,zero_shot_baseline,200,114,0.57,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__zero_shot_baseline__20260521_231113__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260521_2311.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,zero_shot,200,112,0.56,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__zero_shot__20260522_002304__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260522_0023.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,targeted_few_shot_answer_only,200,119,0.595,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__targeted_few_shot_answer_only__20260522_015741__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260522_0158.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,random_few_shot,200,132,0.66,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__random_few_shot__20260522_030802__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260522_0308.json
qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,bigbench_hard,targeted_few_shot,200,135,0.675,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__bigbench_hard__targeted_few_shot__20260522_043004__bigbench_hard__Qwen_Qwen2-5-7B-Instruct__bigbench_hard__20260522_0430.json
