run_id,family,display_name,hf_model_id,benchmark,condition,status,started_at,finished_at,returncode,log_path,output_files
qwen__gsm_symbolic__zero_shot_baseline__20260519_085203,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,zero_shot_baseline,success,2026-05-19T08:52:03,2026-05-19T09:59:03,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__zero_shot_baseline__20260519_085203.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__zero_shot_baseline__20260519_085203__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_0853.json
qwen__gsm_symbolic__zero_shot__20260519_095905,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,zero_shot,success,2026-05-19T09:59:05,2026-05-19T11:13:05,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__zero_shot__20260519_095905.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__zero_shot__20260519_095905__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1000.json
qwen__gsm_symbolic__targeted_few_shot_answer_only__20260519_111307,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,targeted_few_shot_answer_only,success,2026-05-19T11:13:07,2026-05-19T12:14:46,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__targeted_few_shot_answer_only__20260519_111307.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__targeted_few_shot_answer_only__20260519_111307__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1115.json
qwen__gsm_symbolic__random_few_shot__20260519_121449,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,random_few_shot,success,2026-05-19T12:14:49,2026-05-19T13:10:18,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__random_few_shot__20260519_121449.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__random_few_shot__20260519_121449__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1216.json
qwen__gsm_symbolic__targeted_few_shot__20260519_131022,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,targeted_few_shot,success,2026-05-19T13:10:22,2026-05-19T14:18:47,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__targeted_few_shot__20260519_131022.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__targeted_few_shot__20260519_131022__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1312.json
qwen__gsm_symbolic__targeted_few_shot_k5__20260519_141850,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,targeted_few_shot_k5,success,2026-05-19T14:18:50,2026-05-19T15:21:26,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__targeted_few_shot_k5__20260519_141850.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__targeted_few_shot_k5__20260519_141850__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_1420.json
qwen__gsm_symbolic__error_targeted_icl__20260519_205650,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,error_targeted_icl,success,2026-05-19T20:56:50,2026-05-19T21:54:53,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__error_targeted_icl__20260519_205650.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__error_targeted_icl__20260519_205650__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_2058.json
qwen__gsm_symbolic__error_targeted_icl_random__20260519_215456,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,error_targeted_icl_random,success,2026-05-19T21:54:56,2026-05-19T22:52:58,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__error_targeted_icl_random__20260519_215456.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__error_targeted_icl_random__20260519_215456__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_2156.json
qwen__gsm_symbolic__error_targeted_icl_correct_only__20260519_225301,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,error_targeted_icl_correct_only,success,2026-05-19T22:53:01,2026-05-19T23:43:42,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__error_targeted_icl_correct_only__20260519_225301.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__error_targeted_icl_correct_only__20260519_225301__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_2254.json
qwen__gsm_symbolic__self_consistency__20260519_234345,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_symbolic,self_consistency,success,2026-05-19T23:43:45,2026-05-20T09:13:35,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_symbolic__self_consistency__20260519_234345.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_symbolic__self_consistency__20260519_234345__gsm_symbolic__Qwen_Qwen2-5-7B-Instruct__gsm_symbolic__20260519_2345.json
qwen__gsm_plus__zero_shot_baseline__20260520_091336,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,zero_shot_baseline,success,2026-05-20T09:13:36,2026-05-20T10:19:12,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_plus__zero_shot_baseline__20260520_091336.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__zero_shot_baseline__20260520_091336__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_0914.json
qwen__gsm_plus__zero_shot__20260520_101912,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,zero_shot,success,2026-05-20T10:19:12,2026-05-20T11:32:35,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_plus__zero_shot__20260520_101912.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__zero_shot__20260520_101912__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1020.json
qwen__gsm_plus__targeted_few_shot_answer_only__20260520_113236,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,targeted_few_shot_answer_only,success,2026-05-20T11:32:36,2026-05-20T12:30:30,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_plus__targeted_few_shot_answer_only__20260520_113236.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__targeted_few_shot_answer_only__20260520_113236__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1133.json
qwen__gsm_plus__random_few_shot__20260520_123031,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,random_few_shot,success,2026-05-20T12:30:31,2026-05-20T13:26:55,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_plus__random_few_shot__20260520_123031.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__random_few_shot__20260520_123031__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1231.json
qwen__gsm_plus__targeted_few_shot__20260520_132655,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,targeted_few_shot,success,2026-05-20T13:26:55,2026-05-20T14:33:57,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_plus__targeted_few_shot__20260520_132655.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__targeted_few_shot__20260520_132655__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1328.json
qwen__gsm_plus__targeted_few_shot_k5__20260520_143358,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,targeted_few_shot_k5,success,2026-05-20T14:33:58,2026-05-20T15:39:31,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_plus__targeted_few_shot_k5__20260520_143358.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__targeted_few_shot_k5__20260520_143358__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1435.json
qwen__gsm_plus__error_targeted_icl__20260520_153931,qwen,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,gsm_plus,error_targeted_icl,success,2026-05-20T15:39:31,2026-05-21T02:56:12,0,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/logs/qwen__gsm_plus__error_targeted_icl__20260520_153931.log,/content/drive/MyDrive/COMP6242/Project/llm-failure/llm-failure-7b-results/raw/qwen__gsm_plus__error_targeted_icl__20260520_153931__gsm_plus__Qwen_Qwen2-5-7B-Instruct__gsm_plus__20260520_1540.json
