error_type,strategy,failures,recovered,recovery_rate
format_correct_wrong_answer,random_few_shot,2014,799,0.397
format_correct_wrong_answer,targeted_few_shot,2014,760,0.377
format_correct_wrong_answer,targeted_few_shot_k5,2014,722,0.358
format_correct_wrong_answer,error_targeted_icl,2014,762,0.378
format_correct_wrong_answer,error_targeted_icl_random,2014,780,0.387
format_correct_wrong_answer,error_targeted_icl_correct_only,2014,818,0.406
format_correct_wrong_answer,self_consistency,2014,622,0.309
drifting,random_few_shot,2727,606,0.222
drifting,targeted_few_shot,2727,524,0.192
drifting,targeted_few_shot_k5,2727,567,0.208
drifting,error_targeted_icl,2727,542,0.199
drifting,error_targeted_icl_random,2727,540,0.198
drifting,error_targeted_icl_correct_only,2727,522,0.191
drifting,self_consistency,2727,513,0.188
hallucination,random_few_shot,542,119,0.22
hallucination,targeted_few_shot,542,127,0.234
hallucination,targeted_few_shot_k5,542,118,0.218
hallucination,error_targeted_icl,542,113,0.208
hallucination,error_targeted_icl_random,542,104,0.192
hallucination,error_targeted_icl_correct_only,542,115,0.212
hallucination,self_consistency,542,122,0.225
off_topic,random_few_shot,131,50,0.382
off_topic,targeted_few_shot,131,46,0.351
off_topic,targeted_few_shot_k5,131,56,0.427
off_topic,error_targeted_icl,131,60,0.458
off_topic,error_targeted_icl_random,131,54,0.412
off_topic,error_targeted_icl_correct_only,131,61,0.466
off_topic,self_consistency,131,19,0.145
distractor,random_few_shot,468,102,0.218
distractor,targeted_few_shot,468,76,0.162
distractor,targeted_few_shot_k5,468,85,0.182
distractor,error_targeted_icl,468,89,0.19
distractor,error_targeted_icl_random,468,99,0.212
distractor,error_targeted_icl_correct_only,468,110,0.235
distractor,self_consistency,468,99,0.212
negation,random_few_shot,190,49,0.258
negation,targeted_few_shot,190,34,0.179
negation,targeted_few_shot_k5,190,32,0.168
negation,error_targeted_icl,190,47,0.247
negation,error_targeted_icl_random,190,31,0.163
negation,error_targeted_icl_correct_only,190,33,0.174
negation,self_consistency,190,20,0.105
premise_order_sensitivity,random_few_shot,2,0,0.0
premise_order_sensitivity,targeted_few_shot,2,0,0.0
premise_order_sensitivity,targeted_few_shot_k5,2,2,1.0
premise_order_sensitivity,error_targeted_icl,2,0,0.0
premise_order_sensitivity,error_targeted_icl_random,2,0,0.0
premise_order_sensitivity,error_targeted_icl_correct_only,2,0,0.0
premise_order_sensitivity,self_consistency,2,0,0.0
arithmetic_slip,random_few_shot,264,37,0.14
arithmetic_slip,targeted_few_shot,264,44,0.167
arithmetic_slip,targeted_few_shot_k5,264,46,0.174
arithmetic_slip,error_targeted_icl,264,38,0.144
arithmetic_slip,error_targeted_icl_random,264,42,0.159
arithmetic_slip,error_targeted_icl_correct_only,264,43,0.163
arithmetic_slip,self_consistency,264,47,0.178
