family,benchmark,baseline_condition,condition,error_type,n_baseline_failures,recovered,recovery_rate
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl,drifting,137,19,0.1386861313868613
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl,hallucination,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl,premise_order_sensitivity,4,0,0.0
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl,format_correct_wrong_answer,7,5,0.7142857142857143
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl,multi_hop,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_correct_only,drifting,137,18,0.13138686131386862
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_correct_only,hallucination,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_correct_only,premise_order_sensitivity,4,0,0.0
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_correct_only,format_correct_wrong_answer,7,2,0.2857142857142857
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_correct_only,multi_hop,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_random,drifting,137,21,0.15328467153284672
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_random,hallucination,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_random,premise_order_sensitivity,4,0,0.0
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_random,format_correct_wrong_answer,7,3,0.42857142857142855
gemma,bigbench_hard,zero_shot_baseline,error_targeted_icl_random,multi_hop,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,random_few_shot,drifting,137,18,0.13138686131386862
gemma,bigbench_hard,zero_shot_baseline,random_few_shot,hallucination,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,random_few_shot,premise_order_sensitivity,4,0,0.0
gemma,bigbench_hard,zero_shot_baseline,random_few_shot,format_correct_wrong_answer,7,5,0.7142857142857143
gemma,bigbench_hard,zero_shot_baseline,random_few_shot,multi_hop,2,1,0.5
gemma,bigbench_hard,zero_shot_baseline,self_consistency,drifting,137,15,0.10948905109489052
gemma,bigbench_hard,zero_shot_baseline,self_consistency,hallucination,2,2,1.0
gemma,bigbench_hard,zero_shot_baseline,self_consistency,premise_order_sensitivity,4,0,0.0
gemma,bigbench_hard,zero_shot_baseline,self_consistency,format_correct_wrong_answer,7,6,0.8571428571428571
gemma,bigbench_hard,zero_shot_baseline,self_consistency,multi_hop,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot,drifting,137,18,0.13138686131386862
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot,hallucination,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot,premise_order_sensitivity,4,0,0.0
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot,format_correct_wrong_answer,7,5,0.7142857142857143
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot,multi_hop,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_answer_only,drifting,137,16,0.11678832116788321
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_answer_only,hallucination,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_answer_only,premise_order_sensitivity,4,0,0.0
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_answer_only,format_correct_wrong_answer,7,4,0.5714285714285714
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_answer_only,multi_hop,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_k5,drifting,137,26,0.1897810218978102
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_k5,hallucination,2,1,0.5
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_k5,premise_order_sensitivity,4,0,0.0
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_k5,format_correct_wrong_answer,7,4,0.5714285714285714
gemma,bigbench_hard,zero_shot_baseline,targeted_few_shot_k5,multi_hop,2,0,0.0
gemma,bigbench_hard,zero_shot_baseline,zero_shot,drifting,137,23,0.1678832116788321
gemma,bigbench_hard,zero_shot_baseline,zero_shot,hallucination,2,1,0.5
gemma,bigbench_hard,zero_shot_baseline,zero_shot,premise_order_sensitivity,4,0,0.0
